TimeStep,ship1_x,ship1_y,ship1_z,ship2_x,ship2_y,ship2_z,ship3_x,ship3_y,ship3_z,ship4_x,ship4_y,ship4_z
29,19.775751134713232,15.174379232411981,0.0,6.015571328512708,12.995315329360043,0.0,29.530890283593553,17.750215163183007,0.0,29.106907534137466,25.962433216713755,0.0
30,19.776724165997372,15.173237650124063,0.0,6.014403551296597,12.996256762508775,0.0,29.53186510656408,17.75135521589062,0.0,29.105475726150313,25.96198608598575,0.0
31,19.777697197281512,15.172096067836145,0.0,6.013235774080487,12.997198195657507,0.0,29.532839929534607,17.75249526859823,0.0,29.10404391816316,25.961538955257744,0.0
32,19.77867022856565,15.170954485548227,0.0,6.012067996864376,12.99813962880624,0.0,29.533814752505133,17.753635321305843,0.0,29.102612110176008,25.96109182452974,0.0
33,19.77964325984979,15.16981290326031,0.0,6.010900219648265,12.999081061954971,0.0,29.53478957547566,17.754775374013455,0.0,29.101180302188855,25.960644693801733,0.0
34,19.78061629113393,15.168671320972392,0.0,6.0097324424321545,13.000022495103703,0.0,29.535764398446187,17.755915426721067,0.0,29.0997484942017,25.960197563073727,0.0
35,19.78158932241807,15.167529738684474,0.0,6.008564665216044,13.000963928252435,0.0,29.536739221416713,17.75705547942868,0.0,29.09831668621455,25.95975043234572,0.0
36,19.78256235370221,15.166388156396556,0.0,6.007396887999933,13.001905361401167,0.0,29.53771404438724,17.75819553213629,0.0,29.096884878227396,25.959303301617716,0.0
37,19.78353538498635,15.165246574108638,0.0,6.006229110783822,13.0028467945499,0.0,29.538688867357767,17.759335584843903,0.0,29.095453070240243,25.95885617088971,0.0
38,19.78450841627049,15.16410499182072,0.0,6.005061333567712,13.003788227698632,0.0,29.539663690328293,17.760475637551515,0.0,29.09402126225309,25.958409040161705,0.0
39,19.78548144755463,15.162963409532802,0.0,6.003893556351601,13.004729660847364,0.0,29.54063851329882,17.761615690259127,0.0,29.092589454265937,25.9579619094337,0.0
40,19.78645447883877,15.161821827244884,0.0,6.00272577913549,13.005671093996096,0.0,29.541613336269346,17.76275574296674,0.0,29.091157646278784,25.957514778705693,0.0
41,19.78742751012291,15.160680244956966,0.0,6.0015580019193795,13.006612527144828,0.0,29.542588159239873,17.76389579567435,0.0,29.08972583829163,25.957067647977688,0.0
42,19.78840054140705,15.159538662669048,0.0,6.000390224703269,13.00755396029356,0.0,29.5435629822104,17.765035848381963,0.0,29.08829403030448,25.956620517249682,0.0
43,19.78937357269119,15.15839708038113,0.0,5.999222447487158,13.008495393442292,0.0,29.544537805180926,17.766175901089575,0.0,29.086862222317325,25.956173386521677,0.0
44,19.79034660397533,15.157255498093212,0.0,5.998054670271047,13.009436826591024,0.0,29.545512628151453,17.767315953797187,0.0,29.085430414330173,25.95572625579367,0.0
45,19.79131963525947,15.156113915805294,0.0,5.996886893054937,13.010378259739756,0.0,29.54648745112198,17.7684560065048,0.0,29.08399860634302,25.955279125065665,0.0
46,19.79229266654361,15.154972333517376,0.0,5.995719115838826,13.011319692888488,0.0,29.547462274092506,17.76959605921241,0.0,29.082566798355867,25.95483199433766,0.0
47,19.79326569782775,15.153830751229458,0.0,5.994551338622715,13.01226112603722,0.0,29.548437097063033,17.770736111920023,0.0,29.081134990368714,25.954384863609654,0.0
48,19.79423872911189,15.15268916894154,0.0,5.993383561406604,13.013202559185952,0.0,29.54941192003356,17.771876164627635,0.0,29.07970318238156,25.95393773288165,0.0
49,19.79521176039603,15.151547586653622,0.0,5.992215784190494,13.014143992334684,0.0,29.550386743004086,17.773016217335247,0.0,29.078271374394408,25.953490602153643,0.0
50,19.79618479168017,15.150406004365705,0.0,5.991048006974383,13.015085425483417,0.0,29.551361565974613,17.77415627004286,0.0,29.076839566407255,25.953043471425637,0.0
51,19.79715782296431,15.149264422077787,0.0,5.989880229758272,13.016026858632149,0.0,29.55233638894514,17.77529632275047,0.0,29.075407758420102,25.95259634069763,0.0
52,19.79813085424845,15.148122839789869,0.0,5.988712452542162,13.01696829178088,0.0,29.553311211915666,17.776436375458083,0.0,29.07397595043295,25.952149209969626,0.0
53,19.79910388553259,15.14698125750195,0.0,5.987544675326051,13.017909724929613,0.0,29.554286034886193,17.777576428165695,0.0,29.072544142445796,25.95170207924162,0.0
54,19.800076916816728,15.145839675214033,0.0,5.98637689810994,13.018851158078345,0.0,29.55526085785672,17.778716480873307,0.0,29.071112334458643,25.951254948513615,0.0
55,19.801049948100868,15.144698092926115,0.0,5.985209120893829,13.019792591227077,0.0,29.556235680827246,17.77985653358092,0.0,29.06968052647149,25.95080781778561,0.0
56,19.802022979385008,15.143556510638197,0.0,5.984041343677719,13.020734024375809,0.0,29.557210503797773,17.78099658628853,0.0,29.068248718484337,25.950360687057604,0.0
57,19.802996010669148,15.142414928350279,0.0,5.982873566461608,13.021675457524541,0.0,29.5581853267683,17.782136638996143,0.0,29.066816910497185,25.949913556329598,0.0
