TimeStep,MissileID,Target1_x,Target1_y,Target1_z,Target1_MajorAxis,Target1_MinorAxis,Target1_AngleRad,Target1_Scatter,Target1_Confidence,Target2_x,Target2_y,Target2_z,Target2_MajorAxis,Target2_MinorAxis,Target2_AngleRad,Target2_Scatter,Target2_Confidence,Target3_x,Target3_y,Target3_z,Target3_MajorAxis,Target3_MinorAxis,Target3_AngleRad,Target3_Scatter,Target3_Confidence,Target4_x,Target4_y,Target4_z,Target4_MajorAxis,Target4_MinorAxis,Target4_AngleRad,Target4_Scatter,Target4_Confidence,Target5_x,Target5_y,Target5_z,Target5_MajorAxis,Target5_MinorAxis,Target5_AngleRad,Target5_Scatter,Target5_Confidence,Target6_x,Target6_y,Target6_z,Target6_MajorAxis,Target6_MinorAxis,Target6_AngleRad,Target6_Scatter,Target6_Confidence,Target7_x,Target7_y,Target7_z,Target7_MajorAxis,Target7_MinorAxis,Target7_AngleRad,Target7_Scatter,Target7_Confidence,Target8_x,Target8_y,Target8_z,Target8_MajorAxis,Target8_MinorAxis,Target8_AngleRad,Target8_Scatter,Target8_Confidence,Target9_x,Target9_y,Target9_z,Target9_MajorAxis,Target9_MinorAxis,Target9_AngleRad,Target9_Scatter,Target9_Confidence,Target10_x,Target10_y,Target10_z,Target10_MajorAxis,Target10_MinorAxis,Target10_AngleRad,Target10_Scatter,Target10_Confidence,Target11_x,Target11_y,Target11_z,Target11_MajorAxis,Target11_MinorAxis,Target11_AngleRad,Target11_Scatter,Target11_Confidence,Target12_x,Target12_y,Target12_z,Target12_MajorAxis,Target12_MinorAxis,Target12_AngleRad,Target12_Scatter,Target12_Confidence,Target13_x,Target13_y,Target13_z,Target13_MajorAxis,Target13_MinorAxis,Target13_AngleRad,Target13_Scatter,Target13_Confidence,Target14_x,Target14_y,Target14_z,Target14_MajorAxis,Target14_MinorAxis,Target14_AngleRad,Target14_Scatter,Target14_Confidence,Target15_x,Target15_y,Target15_z,Target15_MajorAxis,Target15_MinorAxis,Target15_AngleRad,Target15_Scatter,Target15_Confidence,Target16_x,Target16_y,Target16_z,Target16_MajorAxis,Target16_MinorAxis,Target16_AngleRad,Target16_Scatter,Target16_Confidence,Target17_x,Target17_y,Target17_z,Target17_MajorAxis,Target17_MinorAxis,Target17_AngleRad,Target17_Scatter,Target17_Confidence,Target18_x,Target18_y,Target18_z,Target18_MajorAxis,Target18_MinorAxis,Target18_AngleRad,Target18_Scatter,Target18_Confidence,Target19_x,Target19_y,Target19_z,Target19_MajorAxis,Target19_MinorAxis,Target19_AngleRad,Target19_Scatter,Target19_Confidence,Target20_x,Target20_y,Target20_z,Target20_MajorAxis,Target20_MinorAxis,Target20_AngleRad,Target20_Scatter,Target20_Confidence
10,0,20.50526186844685,24.29832972456252,0.0358614370714605,0.43952857353609787,0.2074730129357741,-0.6998070923200244,0.4,0.8479021753858641,22.294463179393787,17.113010888570678,-0.047850154565159286,0.38871021100077724,0.20747301293577408,-2.4915630491795135,0.4,0.8327625935830953,32.820150987803146,27.90332968723131,0.2687859489250535,0.5960874858291003,0.20747301293577403,-2.4353699171590915,0.4,0.7074306393074142,32.12596139577674,15.606199779943285,-0.0573053468602005,0.49522119760045763,0.20747301293577403,-2.6896884818571793,0.4,0.7463758740110623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,20.43580812908327,24.226913583636073,-0.1704240648625035,0.43912949871666385,0.20729420009566768,-0.6998189965851769,0.4,0.7365460187809001,22.245537024394956,17.129051735849657,-0.10475493776107925,0.38836079677619056,0.20729420009566765,-2.4917622306401217,0.4,0.876258029870327,32.62578727415764,27.98808182090601,-0.005173428541370484,0.5957336651174586,0.20729420009566768,-2.435462950236276,0.4,0.7320524938070967,32.02934015600136,15.82193406832503,-0.03640356300009984,0.4948543263347668,0.20729420009566762,-2.6899966124262384,0.4,0.7122867664068682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,20.420985299967803,24.276500101369358,-0.1079509186822829,0.43873042714756194,0.20711538050226297,-0.6998309122190474,0.4,0.8485250933127789,22.27664574561975,17.154804959326366,-0.03232567038982381,0.3880114001062345,0.20711538050226297,-2.491961757676298,0.4,0.7043229957568033,32.64207751508973,27.97600581003011,0.003747457927532949,0.5953798519717901,0.20711538050226297,-2.4355560855302816,0.4,0.8434132329276637,32.101916804699016,15.683261374036,-0.02192565852435102,0.49448750319466384,0.20711538050226302,-2.6903051892211756,0.4,0.8979388599161098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,20.44386773641954,24.3040835956726,-0.029402081854685846,0.4383313588319589,0.2069365541492962,-0.6998428392427546,0.4,0.7439811266476276,22.369245248650184,17.171533562326626,0.12238865782248176,0.3876620210317338,0.2069365541492962,-2.492161631190798,0.4,0.8775047906782539,32.84630030892559,27.7471111865604,0.021679066976936667,0.595026046402331,0.20693655414929613,-2.4356493232128043,0.4,0.7978082026303821,32.16364634493521,15.623702825658558,0.05282194976975774,0.49412072828107234,0.20693655414929613,-2.6906142131645137,0.4,0.830110314533606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,20.398127008857717,24.302816694857423,-0.09040103279992273,0.43793229377302745,0.20675772103049228,-0.6998547776774752,0.4,0.7423043406088782,22.234624589330785,17.12163341555316,-0.1373201021588084,0.38731265959365074,0.20675772103049225,-2.492361852089488,0.4,0.7381237878829838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,20.40884608317929,24.28312746997547,-0.10453842150898573,0.4375332319739462,0.20657888113956438,-0.6998667275444453,0.4,0.7104844797106311,22.37374170332508,17.080098338383284,0.019340888714953763,0.3869633158330859,0.20657888113956435,-2.4925624212813577,0.4,0.7755293275664732,,,,,,,,,32.137543417777856,15.70318344965245,0.0864406604215393,0.49338732353851283,0.20657888113956444,-2.6912336061983653,0.4,0.8216627785720785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,20.515480210489653,24.34146176326042,0.1388335821411495,0.43713417343789973,0.20640003447021432,-0.6998786888649586,0.4,0.7879174459629288,22.362435956434606,17.03159195935957,-0.054960118644492795,0.38661398979127864,0.20640003447021438,-2.492763339678531,0.4,0.7415137194136391,32.682019999843575,27.893798643878046,-0.07839422858227962,0.5939646752538893,0.20640003447021435,-2.435929652314185,0.4,0.6537759638919673,32.00985256871296,15.8346062791543,-0.04755905968347385,0.49302069391278786,0.20640003447021435,-2.6915439771458307,0.4,0.8069356466384872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,20.570606703189405,24.28180227907132,0.12055713573958471,0.4367351181680789,0.20622118101613254,-0.6998906616603686,0.4,0.7253703481542152,22.450703220424593,16.936002430080606,-0.03317999967440599,0.3862646815096076,0.2062211810161325,-2.4929646081962846,0.4,0.8107852202334888,32.62603659110734,28.08545496236998,0.153880545643041,0.5936109000920542,0.20622118101613243,-2.4360233012754127,0.4,0.8246776908818609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,20.37875404028531,24.291678881465835,-0.12223762628569013,0.4363360661676801,0.2060423207709974,-0.699902645952088,0.4,0.694731065345938,22.350506815323598,17.21970366678617,0.1356787975699678,0.3859153910295918,0.20604232077099746,-2.4931662277530564,0.4,0.6729433727096286,32.630125159196574,27.95289653331531,-0.08994795815887002,0.5932571325579291,0.20604232077099743,-2.436117053489405,0.4,0.893474790732756,32.0754016108265,15.704948535550253,-0.034915818462570414,0.49228758066266354,0.20604232077099743,-2.692166072562185,0.4,0.8074264916328824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,20.359165456769265,24.257862198652678,-0.1996389291926448,0.4359370174399061,0.20586345372847625,-0.6999146417615878,0.4,0.7489900984961992,,,,,,,,,32.581601175820495,27.93563452878112,-0.23092917565966253,0.592903372661879,0.2058634537284763,-2.436210909130174,0.4,0.8633023218703604,32.029133000102426,15.718393476926241,-0.11646785541920579,0.4919210972431973,0.2058634537284763,-2.692477798902426,0.4,0.6947090210928603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
